城市id	坐标y	坐标x	归属	名称	类型	地形	素材	相邻	归属值	类型值	地形值	铜钱值
1060164	106	164	魏国	北海郊外	野外	城池	UI_gzdt_cheng4	"[1020154,1010167,1100171]"	2	4	1	323
1090180	109	180	魏国	北平	城市	城池	UI_gzdt_cheng2	"[1080189,1030177,1100171,1140175]"	2	2	1	324
1080189	108	189	魏国	北平东	野外	城池	UI_gzdt_cheng4	"[1090180,1030177]"	2	4	1	325
1030177	103	177	魏国	北平南	野外	城池	UI_gzdt_cheng4	"[980181,1010167,1090180,1080189]"	2	4	1	326
1100171	110	171	魏国	北平西	野外	城池	UI_gzdt_cheng4	"[1120159,140165,1090180,1140175]"	2	4	1	327
1140175	114	175	魏国	北平北	野外	城池	UI_gzdt_cheng4	"[1090180,1100171]"	2	4	1	328
140165	14	165	吴国	广陵东	野外	城池	UI_gzdt_cheng4	"[120158,140174]"	3	4	1	329
270144	27	144	吴国	汉津南	野外	城池	UI_gzdt_cheng4	"[330144,190140,220152]"	3	4	1	330
340104	34	104	吴国	建昌西	野外	城池	UI_gzdt_cheng4	"[270111,350112,420108]"	3	4	1	331
80119	8	119	吴国	武昌南	野外	水域	UI_gzdt_cheng5	[160117]	3	4	3	332
1020070	102	70	魏国	函谷关	关口	城池	UI_gzdt_cheng3	"[1070063,930069,1010082,960077]"	2	3	1	333
670114	67	114	黄巾	汝南	野外	城池	UI_gzdt_cheng6	"[630121,720119,670102]"	5	4	1	334
550071	55	71	蜀国	白帝东	野外	城池	UI_gzdt_cheng4	"[500078,560062]"	1	4	1	335
