关卡排序,编号ID,序号,等级段,名称,大关类,类型,对话,描述,体力,城堡血量,过关奖励ID,未过关奖励ID,解锁兵种,背景,出兵序列,章节图,pvp,对白回合1,对白回合2,对白回合1ID,对白回合2ID
152,1152,2,41,邺城-2,16,1,0,邺城 北平袁氏第1关,1,128367,52152,52752,0,4,"(10136,74,3)(10079,104,8)(10005,89,35)(10146,59,3)(10079,44,8)(10136,74,3)(10079,104,8)(10005,89,35)(10146,59,3)(10079,44,8)(10136,74,3)(10079,104,8)(10005,89,35)(10146,59,3)(10079,44,8)(10136,74,3)(10079,104,8)(10005,89,35)(10146,59,3)(10079,59,8)",5,0,0,0,0,0
153,1153,3,41,邺城-3,16,2,0,邺城 北平袁氏第1关,1,251440,52153,52753,0,4,"(10069,100,4)(10069,140,6)(10118,120,2)(10060,80,24)(10033,60,2)(10069,100,4)(10069,140,6)(10118,120,11)(10060,80,54)(10033,60,5)(10069,100,11)(10069,140,11)(10118,120,2)(10060,80,24)(10033,60,3)(10069,100,4)(10069,140,6)(10118,120,2)(10060,80,24)(10033,80,2)",5,0,0,0,0,0
154,1154,4,41,邺城-4,16,1,0,邺城 北平袁氏第1关,1,579907,52154,52754,0,4,"(10087,85,1)(10005,119,27)(10005,102,33)(10146,68,2)(10060,51,27)(10087,85,1)(10005,119,27)(10005,102,33)(10146,68,2)(10060,51,27)(10087,85,1)(10005,119,27)(10005,102,33)(10146,68,2)(10060,51,60)(10087,85,6)(10005,119,60)(10005,102,60)(10146,68,5)(10060,68,47)",5,0,0,0,0,0
155,1155,5,42,邺城-5,16,1,0,邺城 北平袁氏第1关,1,240115,52155,52755,0,4,"(10069,79,5)(10136,111,4)(10129,95,3)(10129,63,7)(10005,47,34)(10069,79,5)(10136,111,4)[(5632,109,2),(10129,95,15)][(5633,81,3),(10129,63,15)](10005,47,77)(10069,79,15)(10136,111,8)(10129,95,3)(10129,63,7)(10005,47,43)(10069,79,5)(10136,111,4)(10129,95,3)(10129,63,7)(10005,63,34)",5,0,0,0,0,0
156,1156,6,42,邺城-6,16,2,0,邺城 北平袁氏第1关,1,152527,52156,52756,0,4,"(10087,90,3)(10013,126,9)(10025,108,7)(10033,72,3)(10033,54,4)(10087,90,3)(10013,126,9)(10025,108,7)(10033,72,3)(10033,54,4)(10087,90,3)(10013,126,9)(10025,108,7)(10033,72,3)(10033,54,4)(10087,90,3)(10013,126,9)(10025,108,7)(10033,72,3)(10033,72,4)",5,0,0,0,0,0
157,1157,7,42,邺城-7,16,1,0,邺城 北平袁氏第1关,1,92422,52157,52757,0,4,"(10146,91,6)(10033,127,6)(10110,109,56)(10110,73,56)(10013,55,5)(10146,91,2)(10033,127,3)(10110,109,31)(10110,73,25)(10013,55,4)(10146,91,3)(10033,127,3)(10110,109,25)(10110,73,19)(10013,55,5)(10146,91,3)(10033,127,3)(10110,109,19)(10110,73,25)(10013,73,6)",5,0,0,0,0,0
158,1158,8,42,邺城-8,16,1,0,邺城 北平袁氏第1关,1,255970,52158,52758,0,4,"(10110,85,24)(10118,119,8)(10087,102,2)(10087,68,3)(10025,51,6)(10110,85,24)(10118,119,8)[(5608,61,4),(10087,102,7)][(5609,122,2),(10087,68,7)][(5598,122,2),(10025,51,15)](10110,85,73)(10118,119,15)(10087,102,2)(10087,68,3)(10025,51,8)(10110,85,24)(10118,119,8)(10087,102,2)(10087,68,3)(10025,68,6)",5,0,0,0,0,0
159,1159,9,43,邺城-9,16,2,0,邺城 北平袁氏第1关,1,543667,52159,52759,0,4,"(10025,79,4)(10025,111,8)(10129,95,10)(10118,63,6)(10013,47,8)(10025,79,4)(10025,111,8)(10129,95,10)(10118,63,6)(10013,47,8)(10025,79,4)(10025,111,8)(10129,95,10)(10118,63,6)(10013,47,17)(10025,79,17)(10025,111,17)(10129,95,17)(10118,63,14)(10013,63,14)",5,0,0,0,0,0
160,1160,10,43,邺城-10,16,3,0,邺城 北平袁氏第1关,1,0,52160,52760,0,4,,5,100,0,0,0,0
161,1161,1,43,平原-1,17,1,0,平原 北平袁氏第2关,1,240115,52161,52761,0,5,"(10060,95,19)(10069,133,6)(10088,114,1)(10147,76,3)(10060,57,25)(10069,95,4)(10088,133,3)(10147,114,6)(10060,76,57)(10069,57,11)(10088,95,6)(10147,133,6)(10060,114,13)(10069,76,5)(10088,57,3)(10147,95,2)(10060,133,32)(10069,114,3)(10088,76,3)(10147,76,3)",5,0,0,0,0,0
162,1162,2,43,平原-2,17,1,0,平原 北平袁氏第2关,1,84268,52162,52762,0,5,"(10129,82,14)(10034,115,7)(10088,98,7)(10025,66,14)(10129,49,6)(10034,82,2)(10088,115,3)(10025,98,8)(10129,66,6)(10034,49,2)(10088,82,3)(10025,115,8)(10129,98,6)(10034,66,2)(10088,49,3)(10025,82,8)(10129,115,6)(10034,98,2)(10088,66,3)(10025,66,8)",5,0,0,0,0,0
163,1163,3,44,平原-3,17,2,0,平原 北平袁氏第2关,1,181217,52163,52763,0,5,"(10034,109,3)(10110,153,38)(10146,131,3)(10014,87,5)(10034,65,4)(10110,109,26)(10146,153,4)(10014,131,6)(10034,87,3)(10110,65,38)(10146,109,3)(10014,153,8)(10034,131,3)(10110,87,26)(10146,65,4)(10014,109,5)(10034,153,4)(10110,131,32)(10146,87,3)(10014,87,8)",5,0,0,0,0,0
164,1164,4,44,平原-4,17,1,0,平原 北平袁氏第2关,1,622187,52164,52764,0,5,"(10060,92,14)(10069,129,6)(10079,110,7)(10147,74,2)(10069,55,6)(10060,92,14)(10069,129,6)(10079,110,7)(10147,74,2)(10069,55,6)(10060,92,14)(10069,129,6)(10079,110,7)(10147,74,2)(10069,55,13)(10060,92,64)(10069,129,13)(10079,110,13)(10147,74,5)(10069,74,10)",5,0,0,0,0,0
165,1165,5,44,平原-5,17,1,0,平原 北平袁氏第2关,1,104200,52165,52765,0,5,"(10088,87,8)[(5643,104,5),(10025,122,16)](10129,104,16)(10014,70,16)(10088,52,4)(10025,87,5)(10129,122,7)(10014,104,9)(10088,70,4)(10025,52,5)(10129,87,7)(10014,122,9)(10088,104,4)(10025,70,5)(10129,52,7)(10014,87,9)(10088,122,4)(10025,104,5)(10129,70,7)(10014,70,9)",5,0,0,0,0,0
166,1166,6,44,平原-6,17,2,0,平原 北平袁氏第2关,1,166117,52166,52766,0,5,"(10119,99,6)(10014,139,9)(10110,119,38)(10025,79,6)(10119,59,9)(10014,99,6)(10110,139,46)(10025,119,8)(10119,79,6)(10014,59,9)(10110,99,30)(10025,139,9)(10119,119,8)(10014,79,6)(10110,59,46)(10025,99,6)(10119,139,9)(10014,119,8)(10110,79,30)(10025,79,9)",5,0,0,0,0,0
167,1167,7,45,平原-7,17,1,0,平原 北平袁氏第2关,1,251440,52167,52767,0,5,"(10005,100,20)(10147,140,3)(10005,120,13)(10137,80,3)(10110,60,27)(10005,100,20)(10147,140,3)(10005,120,60)(10137,80,6)(10110,60,60)(10005,100,60)(10147,140,6)(10005,120,13)(10137,80,3)(10110,60,33)(10005,100,20)(10147,140,3)(10005,120,13)(10137,80,3)(10110,80,27)",5,0,0,0,0,0
168,1168,8,45,平原-8,17,1,0,平原 北平袁氏第2关,1,271825,52168,52768,0,5,"(10129,91,5)(10005,127,43)(10137,109,2)(10129,73,7)(10069,55,7)(10129,91,5)(10005,127,43)[(5598,131,1),(10137,109,8)][(5634,109,3),(10129,73,15)][(5610,87,4),(10069,55,15)](10129,91,15)(10005,127,77)(10137,109,2)(10129,73,7)(10069,55,9)(10129,91,5)(10005,127,43)(10137,109,2)(10129,73,7)(10069,73,7)",5,0,0,0,0,0
169,1169,9,45,平原-9,17,2,0,平原 北平袁氏第2关,1,591987,52169,52769,0,5,"(10069,87,4)(10034,122,4)(10060,104,51)(10119,70,6)(10060,52,41)(10069,87,4)(10034,122,4)(10060,104,51)(10119,70,6)(10060,52,41)(10069,87,4)(10034,122,4)(10060,104,51)(10119,70,6)(10060,52,92)(10069,87,18)(10034,122,9)(10060,104,92)(10119,70,14)(10060,70,71)",5,0,0,0,0,0
170,1170,10,45,平原-10,17,3,0,平原 北平袁氏第2关,1,0,52170,52770,0,5,,5,100,0,0,0,0
171,1171,1,46,清河-1,18,1,0,清河 北平袁氏第3关,1,172157,52171,52771,0,6,"(10034,103,3)(10110,144,41)(10146,124,3)(10110,82,27)(10014,62,8)(10034,103,3)(10110,144,41)(10146,124,3)(10110,82,27)(10014,62,8)(10034,103,3)(10110,144,41)(10146,124,3)(10110,82,27)(10014,62,8)(10034,103,3)(10110,144,41)(10146,124,3)(10110,82,27)(10014,82,8)",5,0,0,0,0,0
172,1172,2,46,清河-2,18,1,0,清河 北平袁氏第3关,1,149507,52172,52772,0,6,"(10119,88,6)(10129,123,10)(10025,106,8)(10088,70,3)(10129,53,10)(10119,88,6)(10129,123,10)(10025,106,8)(10088,70,3)(10129,53,10)(10119,88,6)(10129,123,10)(10025,106,8)(10088,70,3)(10129,53,10)(10119,88,6)(10129,123,10)(10025,106,8)(10088,70,3)(10129,70,10)",5,0,0,0,0,0
173,1173,3,46,清河-3,18,2,0,清河 北平袁氏第3关,1,194807,52173,52773,0,6,"(10079,118,5)(10079,165,8)(10137,142,3)(10005,94,27)(10147,71,4)(10079,118,5)(10079,165,8)(10137,142,3)(10005,94,27)(10147,71,4)(10079,118,5)(10079,165,8)(10137,142,3)(10005,94,27)(10147,71,4)(10079,118,5)(10079,165,8)(10137,142,3)(10005,94,27)(10147,94,4)",5,0,0,0,0,0
174,1174,4,46,清河-4,18,1,0,清河 北平袁氏第3关,1,101482,52174,52774,0,6,"(10088,101,7)(10005,141,68)(10005,121,68)(10147,81,7)(10060,61,30)(10088,101,2)(10005,141,30)(10005,121,38)(10147,81,3)(10060,61,23)(10088,101,3)(10005,141,38)(10005,121,30)(10147,81,2)(10060,61,30)(10088,101,4)(10005,141,30)(10005,121,23)(10147,81,3)(10060,81,38)",5,0,0,0,0,0
175,1175,5,47,清河-5,18,1,0,清河 北平袁氏第3关,1,188767,52175,52775,0,6,"(10034,95,9)[(5613,80,4),(10088,133,9)](10119,114,17)[(5638,148,1),(10119,76,17)](10060,57,38)(10034,95,3)(10088,133,4)(10119,114,10)(10119,76,8)(10060,57,29)(10034,95,4)(10088,133,5)(10119,114,8)(10119,76,6)(10060,57,38)(10034,95,5)(10088,133,4)(10119,114,6)(10119,76,8)(10060,76,48)",5,0,0,0,0,0
176,1176,6,47,清河-6,18,2,0,清河 北平袁氏第3关,1,267295,52176,52776,0,6,"(10137,107,2)(10129,150,8)(10005,128,16)(10069,86,6)(10069,64,6)(10137,107,2)(10129,150,8)(10005,128,73)(10069,86,15)(10069,64,15)(10137,107,7)(10129,150,15)(10005,128,16)(10069,86,6)(10069,64,8)(10137,107,2)(10129,150,8)(10005,128,16)(10069,86,6)(10069,86,6)",5,0,0,0,0,0
177,1177,7,47,清河-7,18,1,0,清河 北平袁氏第3关,1,271825,52177,52777,0,6,"(10034,109,2)(10014,153,7)(10025,131,3)(10025,87,6)(10129,65,6)(10034,109,2)(10014,153,7)(10025,131,13)(10025,87,13)(10129,65,13)(10034,109,6)(10014,153,13)(10025,131,3)(10025,87,6)(10129,65,7)(10034,109,2)(10014,153,7)(10025,131,3)(10025,87,6)(10129,87,6)",5,0,0,0,0,0
178,1178,8,47,清河-8,18,1,0,清河 北平袁氏第3关,1,785267,52178,52778,0,6,"(10110,99,18)(10069,139,7)(10147,119,5)(10147,79,3)(10079,59,7)(10110,99,18)(10069,139,7)(10147,119,5)(10147,79,3)(10079,59,7)(10110,99,18)(10069,139,7)(10147,119,5)(10147,79,3)[(5611,107,3),(10079,59,16)][(5642,107,3),(10110,99,82)][(5652,143,2),(10069,139,16)](10147,119,8)(10147,79,6)(10079,79,13)",5,0,0,0,0,0
179,1179,9,48,清河-9,18,2,0,清河 北平袁氏第3关,1,634267,52179,52779,0,6,"(10110,94,21)(10110,132,43)(10025,113,11)(10119,75,6)(10014,56,9)(10110,94,21)(10110,132,43)(10025,113,11)(10119,75,6)(10014,56,9)(10110,94,21)(10110,132,43)(10025,113,11)(10119,75,6)(10014,56,19)(10110,94,96)(10110,132,96)(10025,113,19)(10119,75,15)(10014,75,15)",5,0,0,0,0,0
180,1180,10,48,清河-10,18,3,0,清河 北平袁氏第3关,1,0,52180,52780,0,6,,5,100,0,0,0,0
181,1181,1,48,南皮-1,19,1,0,南皮 北平袁氏第4关,1,185747,52181,52781,10096,7,"(10110,112,29)(10025,157,9)(10034,134,4)(10096,90,3)(10110,67,43)(10025,112,6)(10034,157,4)(10096,134,4)(10110,90,29)(10025,67,9)(10034,112,3)(10096,157,4)(10110,134,36)(10025,90,6)(10034,67,4)(10096,112,3)(10110,157,43)(10025,134,7)(10034,90,3)(10096,90,4)",5,0,0,0,0,0
182,1182,2,48,南皮-2,19,1,0,南皮 北平袁氏第4关,1,242380,52182,52782,0,7,"(10080,96,5)(10070,134,9)(10096,115,2)(10005,77,34)(10080,58,7)(10070,96,5)(10096,134,4)(10005,115,77)(10080,77,15)(10070,58,15)(10096,96,8)(10005,134,77)(10080,115,3)(10070,77,7)(10096,58,4)(10005,96,26)(10080,134,9)(10070,115,3)(10096,77,3)(10005,77,34)",5,0,0,0,0,0
183,1183,3,49,南皮-3,19,2,0,南皮 北平袁氏第4关,1,833587,52183,52783,0,7,"(10119,127,3)(10060,178,29)(10138,152,4)(10130,102,4)(10119,76,6)(10060,127,14)(10138,178,3)(10130,152,7)(10119,102,4)(10060,76,29)(10138,127,1)(10130,178,6)(10119,152,7)(10060,102,22)(10138,76,7)(10130,127,13)(10119,178,13)(10060,152,65)(10138,102,5)(10130,102,10)",5,0,0,0,0,0
184,1184,4,49,南皮-4,19,1,0,南皮 北平袁氏第4关,1,181217,52184,52784,0,7,"(10005,109,32)(10088,153,5)(10070,131,8)(10147,87,3)(10088,65,5)(10005,109,32)(10088,153,5)(10070,131,8)(10147,87,3)(10088,65,5)(10005,109,32)(10088,153,5)(10070,131,8)(10147,87,3)(10088,65,5)(10005,109,32)(10088,153,5)(10070,131,8)(10147,87,3)(10088,87,5)",5,0,0,0,0,0
185,1185,5,49,南皮-5,19,1,0,南皮 北平袁氏第4关,1,258235,52185,52785,0,7,"(10096,103,3)(10080,144,10)(10014,124,4)(10034,82,4)(10096,62,4)(10080,103,6)(10014,144,10)[(5606,143,1),(10034,124,9)][(5651,87,2),(10096,82,9)][(5607,143,1),(10080,62,18)](10014,103,18)(10034,144,9)(10096,124,2)(10080,82,8)(10014,62,10)(10034,103,3)(10096,144,5)(10080,124,4)(10014,82,8)(10034,82,4)",5,0,0,0,0,0
186,1186,6,49,南皮-6,19,2,0,南皮 北平袁氏第4关,1,755067,52186,52786,0,7,"(10119,114,3)(10130,160,7)(10060,137,43)(10110,91,26)(10119,68,7)(10130,114,3)(10060,160,34)(10110,137,43)(10119,91,5)(10130,68,7)(10060,114,17)(10110,160,34)(10119,137,9)(10130,91,5)(10060,68,77)(10110,114,77)(10119,160,15)(10130,137,15)(10060,91,60)(10110,91,60)",5,0,0,0,0,0
187,1187,7,50,南皮-7,19,1,0,南皮 北平袁氏第4关,1,289945,52187,52787,0,7,"(10025,117,5)(10096,164,4)(10025,140,3)(10034,94,3)(10014,70,6)(10025,117,5)(10096,164,4)(10025,140,14)(10034,94,7)(10014,70,14)(10025,117,14)(10096,164,7)(10025,140,3)(10034,94,3)(10014,70,8)(10025,117,5)(10096,164,4)(10025,140,3)(10034,94,3)(10014,94,6)",5,0,0,0,0,0
188,1188,8,50,南皮-8,19,1,0,南皮 北平袁氏第4关,1,106918,52188,52788,0,7,"(10060,107,87)[(5647,128,2),(10005,150,87)][(5614,128,2),(10138,128,9)][(5615,128,2),(10060,86,87)][(5654,128,2),(10088,64,4)](10060,107,29)(10005,150,39)(10138,128,5)(10060,86,39)(10088,64,3)(10060,107,39)(10005,150,48)(10138,128,4)(10060,86,29)(10088,64,4)(10060,107,48)(10005,150,39)(10138,128,3)(10060,86,39)(10088,86,5)",5,0,0,0,0,0
189,1189,9,50,南皮-9,19,2,0,南皮 北平袁氏第4关,1,101482,52189,52789,0,7,"(10130,101,20)(10147,141,10)(10110,121,101)(10070,81,20)(10110,61,45)(10130,101,7)(10147,141,5)(10110,121,56)(10070,81,9)(10110,61,34)(10130,101,9)(10147,141,6)(10110,121,45)(10070,81,7)(10110,61,45)(10130,101,11)(10147,141,5)(10110,121,34)(10070,81,9)(10110,81,56)",5,0,0,0,0,0
190,1190,10,50,南皮-10,19,3,0,南皮 北平袁氏第4关,1,0,52190,52790,0,7,,5,100,0,0,0,0
191,1191,1,51,桂阳-1,20,1,0,桂阳 奇袭荆南第1关,1,118696,52191,52791,0,8,"(10088,120,7)(10005,168,69)(10147,144,7)(10005,96,69)(10110,72,31)(10088,120,2)(10005,168,31)(10147,144,4)(10005,96,31)(10110,72,23)(10088,120,3)(10005,168,38)(10147,144,3)(10005,96,23)(10110,72,31)(10088,120,4)(10005,168,31)(10147,144,2)(10005,96,31)(10110,96,38)",6,0,0,0,0,0
192,1192,2,51,桂阳-2,20,1,0,桂阳 奇袭荆南第1关,1,173667,52192,52792,0,8,"(10119,104,7)(10130,146,11)(10110,125,46)(10088,83,4)(10130,62,11)(10119,104,7)(10130,146,11)(10110,125,46)(10088,83,4)(10130,62,11)(10119,104,7)(10130,146,11)(10110,125,46)(10088,83,4)(10130,62,11)(10119,104,7)(10130,146,11)(10110,125,46)(10088,83,4)(10130,83,11)",6,0,0,0,0,0
193,1193,3,51,桂阳-3,20,2,0,桂阳 奇袭荆南第1关,1,337510,52193,52793,0,8,"(10015,138,5)(10015,193,8)(10034,166,2)(10080,110,6)(10096,83,3)(10015,138,5)(10015,193,8)(10034,166,7)(10080,110,14)(10096,83,7)(10015,138,14)(10015,193,14)(10034,166,2)(10080,110,6)(10096,83,4)(10015,138,5)(10015,193,8)(10034,166,2)(10080,110,6)(10096,110,3)",6,0,0,0,0,0
194,1194,4,51,桂阳-4,20,1,0,桂阳 奇袭荆南第1关,1,773187,52194,52794,0,8,"(10119,117,3)(10130,164,7)(10130,140,9)(10147,94,3)(10070,70,7)(10119,117,3)(10130,164,7)(10130,140,9)(10147,94,3)(10070,70,7)(10119,117,3)(10130,164,7)(10130,140,9)(10147,94,3)(10070,70,15)(10119,117,15)(10130,164,15)(10130,140,15)(10147,94,6)(10070,94,12)",6,0,0,0,0,0
195,1195,5,51,桂阳-5,20,1,0,桂阳 奇袭荆南第1关,1,326185,52195,52795,0,8,"(10070,111,6)(10096,155,5)(10015,133,4)(10015,89,8)(10005,67,42)(10070,111,6)(10096,155,5)[(5617,153,2),(10015,133,19)](10015,89,19)[(5618,113,3),(10005,67,95)](10070,111,19)(10096,155,10)(10015,133,4)(10015,89,8)(10005,67,53)(10070,111,6)(10096,155,5)(10015,133,4)(10015,89,8)(10005,89,42)",6,0,0,0,0,0
196,1196,6,52,桂阳-6,20,2,0,桂阳 奇袭荆南第1关,1,203867,52196,52796,0,8,"(10138,124,4)(10130,174,11)(10060,149,45)(10119,99,7)(10119,74,11)(10138,124,4)(10130,174,11)(10060,149,45)(10119,99,7)(10119,74,11)(10138,124,4)(10130,174,11)(10060,149,45)(10119,99,7)(10119,74,11)(10138,124,4)(10130,174,11)(10060,149,45)(10119,99,7)(10119,99,11)",6,0,0,0,0,0
197,1197,7,52,桂阳-7,20,1,0,桂阳 奇袭荆南第1关,1,124132,52197,52797,0,8,"(10138,126,7)(10088,176,7)(10060,151,72)(10060,101,72)(10025,76,6)(10138,126,2)(10088,176,3)(10060,151,40)(10060,101,32)(10025,76,5)(10138,126,3)(10088,176,4)(10060,151,32)(10060,101,24)(10025,76,6)(10138,126,4)(10088,176,3)(10060,151,24)(10060,101,32)(10025,101,8)",6,0,0,0,0,0
198,1198,8,52,桂阳-8,20,1,0,桂阳 奇袭荆南第1关,1,332980,52198,52798,0,8,"(10110,113,31)(10034,158,5)(10096,136,2)(10096,90,4)(10025,68,8)(10110,113,31)[(5605,156,1),(10034,158,5)][(5641,102,4),(10096,136,9)][(5610,143,2),(10096,90,9)][(5653,156,1),(10025,68,18)](10110,113,92)(10034,158,9)(10096,136,2)(10096,90,4)(10025,68,10)(10110,113,31)(10034,158,5)(10096,136,2)(10096,90,4)(10025,90,8)",6,0,0,0,0,0
199,1199,9,52,桂阳-9,20,2,0,桂阳 奇袭荆南第1关,1,724867,52199,52799,0,8,"(10005,109,24)(10005,153,47)(10015,131,12)(10096,87,4)(10034,65,5)(10005,109,24)(10005,153,47)(10015,131,12)(10096,87,4)(10034,65,5)(10005,109,24)(10005,153,47)(10015,131,12)(10096,87,4)(10034,65,11)(10005,109,106)(10005,153,106)(10015,131,21)(10096,87,8)(10034,87,8)",6,0,0,0,0,0
200,1200,10,52,桂阳-10,20,3,0,桂阳 奇袭荆南第1关,1,0,52200,52800,0,8,,6,100,0,0,0,0
201,1201,1,53,零陵-1,21,1,0,零陵 奇袭荆南第2关,1,339775,52201,52801,0,9,"(10060,139,25)(10060,195,41)(10080,167,3)(10096,111,3)(10015,83,7)(10080,139,5)(10034,195,4)(10060,167,74)(10060,111,74)(10080,83,15)(10096,139,7)(10015,195,15)(10080,167,3)(10034,111,3)(10060,83,41)(10060,139,25)(10080,195,8)(10096,167,2)(10015,111,7)(10080,111,7)",6,0,0,0,0,0
202,1202,2,53,零陵-2,21,1,0,零陵 奇袭荆南第2关,1,118696,52202,52802,0,9,"(10005,120,88)(10005,168,88)(10080,144,18)(10080,96,18)(10015,72,8)(10015,120,6)(10070,168,8)(10070,144,10)(10096,96,4)(10096,72,3)(10005,120,39)(10005,168,49)(10080,144,8)(10080,96,6)(10015,72,8)(10015,120,10)(10070,168,8)(10070,144,6)(10096,96,4)(10096,96,5)",6,0,0,0,0,0
203,1203,3,53,零陵-3,21,2,0,零陵 奇袭荆南第2关,1,255207,52203,52803,0,9,"(10060,158,32)(10025,221,10)(10060,190,40)(10119,126,6)(10025,95,10)(10130,158,6)(10138,221,5)(10130,190,8)(10119,126,6)(10138,95,5)(10060,158,32)(10025,221,10)(10060,190,40)(10119,126,6)(10025,95,10)(10130,158,6)(10138,221,5)(10130,190,8)(10119,126,6)(10138,126,5)",6,0,0,0,0,0
204,1204,4,53,零陵-4,21,1,0,零陵 奇袭荆南第2关,1,887947,52204,52804,0,9,"(10005,136,18)(10070,190,7)(10005,163,46)(10088,109,3)(10148,82,4)(10110,136,18)(10110,190,36)(10070,163,9)(10005,109,27)(10070,82,7)(10005,136,18)(10088,190,4)(10148,163,5)(10110,109,27)(10110,82,82)(10070,136,16)(10005,190,82)(10070,163,16)(10005,109,64)(10088,109,6)",6,0,0,0,0,0
205,1205,5,53,零陵-5,21,1,0,零陵 奇袭荆南第2关,1,147688,52205,52805,0,9,"(10060,127,101)[(5650,160,2),(10088,178,10)][(5599,160,2),(10060,152,101)][(5616,137,3),(10138,102,10)](10025,76,9)(10005,127,34)(10088,178,5)(10060,152,56)(10088,102,5)(10060,76,34)(10138,127,5)(10025,178,11)(10005,152,45)(10088,102,3)(10060,76,45)(10088,127,6)(10060,178,45)(10138,152,3)(10025,102,9)(10005,102,56)",6,0,0,0,0,0
206,1206,6,54,零陵-6,21,2,0,零陵 奇袭荆南第2关,1,229537,52206,52806,0,9,"(10025,141,8)(10034,197,6)(10110,169,48)(10110,113,38)(10088,85,6)(10096,141,4)(10096,197,6)(10034,169,5)(10025,113,8)(10034,85,6)(10110,141,38)(10110,197,58)(10088,169,5)(10096,113,4)(10096,85,6)(10034,141,4)(10025,197,12)(10034,169,5)(10110,113,38)(10096,113,6)",6,0,0,0,0,0
207,1207,7,54,零陵-7,21,1,0,零陵 奇袭荆南第2关,1,351100,52207,52807,0,9,"(10130,144,5)(10060,202,43)(10110,173,17)(10119,115,7)(10060,86,34)(10060,144,26)(10088,202,4)(10119,173,15)(10130,115,15)(10130,86,15)(10060,144,77)(10110,202,77)(10119,173,3)(10060,115,34)(10060,86,43)(10088,144,3)(10119,202,9)(10130,173,3)(10110,115,34)(10088,115,3)",6,0,0,0,0,0
208,1208,8,54,零陵-8,21,1,0,零陵 奇袭荆南第2关,1,378280,52208,52808,0,9,"(10025,130,6)(10034,182,5)(10025,156,4)(10015,104,9)(10005,78,43)(10096,130,3)(10005,182,54)[(5608,109,5),(10034,156,10)][(5626,179,2),(10025,104,19)][(5627,179,2),(10034,78,10)](10025,130,19)(10015,182,19)(10005,156,22)(10096,104,4)(10005,78,54)(10034,130,3)(10015,182,11)(10005,156,22)(10096,104,4)(10005,104,43)",6,0,0,0,0,0
209,1209,9,54,零陵-9,21,2,0,零陵 奇袭荆南第2关,1,821507,52209,52809,0,9,"(10070,125,5)(10148,175,5)(10119,150,12)(10110,100,37)(10130,75,10)(10130,125,5)(10148,175,5)(10070,150,12)(10148,100,4)(10119,75,10)(10110,125,25)(10130,175,10)(10130,150,12)(10148,100,4)(10070,75,22)(10148,125,11)(10119,175,22)(10110,150,112)(10130,100,17)(10130,100,17)",6,0,0,0,0,0
210,1210,10,54,零陵-10,21,3,0,零陵 奇袭荆南第2关,1,0,52210,52810,0,9,,6,100,0,0,0,0
211,1211,1,55,武陵-1,22,1,0,武陵 奇袭荆南第3关,1,240107,52211,52811,0,10,"(10148,148,4)(10110,207,52)(10070,178,9)(10070,118,7)(10088,89,5)(10088,148,4)(10005,207,52)(10148,178,4)(10110,118,35)(10070,89,10)(10070,148,7)(10088,207,5)(10088,178,4)(10005,118,35)(10148,89,5)(10110,148,35)(10070,207,10)(10070,178,9)(10088,118,4)(10088,118,5)",6,0,0,0,0,0
212,1212,2,55,武陵-2,22,1,0,武陵 奇袭荆南第3关,1,208397,52212,52812,0,10,"(10088,127,4)(10088,178,6)(10088,152,5)(10005,102,42)(10138,76,6)(10025,127,8)(10060,178,62)(10060,152,52)(10005,102,42)(10088,76,6)(10088,127,4)(10088,178,6)(10005,152,52)(10138,102,4)(10025,76,12)(10060,127,42)(10060,178,62)(10005,152,52)(10138,102,4)(10138,102,6)",6,0,0,0,0,0
213,1213,3,55,武陵-3,22,2,0,武陵 奇袭荆南第3关,1,270307,52213,52813,0,10,"(10060,168,34)(10110,235,51)(10088,202,4)(10088,134,3)(10130,101,10)(10130,168,7)(10119,235,10)(10110,202,43)(10060,134,34)(10110,101,51)(10088,168,3)(10088,235,5)(10130,202,9)(10130,134,7)(10119,101,10)(10110,168,34)(10088,235,5)(10088,202,4)(10130,134,7)(10130,134,10)",6,0,0,0,0,0
214,1214,4,55,武陵-4,22,1,0,武陵 奇袭荆南第3关,1,140440,52214,52814,0,10,"(10080,144,17)(10015,202,17)(10097,173,9)(10005,115,87)(10070,86,8)(10080,144,6)(10005,202,39)(10080,173,10)(10015,115,8)(10097,86,3)(10005,144,39)(10070,202,10)(10080,173,8)(10005,115,29)(10080,86,8)(10015,144,10)(10097,202,4)(10005,173,29)(10070,115,8)(10080,115,10)",6,0,0,0,0,0
215,1215,5,55,武陵-5,22,1,0,武陵 奇袭荆南第3关,1,262757,52215,52815,0,10,"(10110,136,106)[(5634,114,5),(10119,190,21)][(5637,212,2),(10110,163,106)](10148,109,11)(10130,82,9)(10130,136,7)(10070,190,9)(10110,163,59)(10119,109,9)(10110,82,35)(10148,136,5)(10130,190,12)(10130,163,9)(10070,109,7)(10110,82,47)(10119,136,12)(10110,190,47)(10148,163,4)(10130,109,9)(10130,109,12)",6,0,0,0,0,0
